GameID;Date;Side;Win/Lose;Player;Lane;Hero;Ban Hero;Spell;Team;Opponent;Skor Game;Kill;Death;Assist;Duration;Map;Stage
MSC26_GA_M01_G1;22/07/2026;Blue;Win;Sepat;Explane;Lapu lapu;Marcel;Flicker;Team Vamos;Team Falcons;1 - 0;5;2;10;14:27;Broken Walls;Group A
MSC26_GA_M01_G1;22/07/2026;Blue;Win;Error404;Jungler;Guinevere;Phoveus;Retribution;Team Vamos;Team Falcons;1 - 0;5;2;9;14:27;Broken Walls;Group A
MSC26_GA_M01_G1;22/07/2026;Blue;Win;ClawKun;Midlane;Eudora;Zhuxin;Flicker;Team Vamos;Team Falcons;1 - 0;3;2;10;14:27;Broken Walls;Group A
MSC26_GA_M01_G1;22/07/2026;Blue;Win;Natco;Goldlane;Claude;Moskov;Purify;Team Vamos;Team Falcons;1 - 0;3;2;10;14:27;Broken Walls;Group A
MSC26_GA_M01_G1;22/07/2026;Blue;Win;Zqeef;Roamer;Atlas;Belerick;Flicker;Team Vamos;Team Falcons;1 - 0;2;3;11;14:27;Broken Walls;Group A
MSC26_GA_M01_G1;22/07/2026;Red;Lose;Sanji(FL);Explane;Arlott;Fanny;Flicker;Team Falcons;Team Vamos;0 - 1;4;5;5;14:27;Broken Walls;Group A
MSC26_GA_M01_G1;22/07/2026;Red;Lose;Boyet;Jungler;Akai;Freya;Retribution;Team Falcons;Team Vamos;0 - 1;4;4;6;14:27;Broken Walls;Group A
MSC26_GA_M01_G1;22/07/2026;Red;Lose;Cuffin;Midlane;Valentina;Hirara;Flicker;Team Falcons;Team Vamos;0 - 1;0;4;11;14:27;Broken Walls;Group A
MSC26_GA_M01_G1;22/07/2026;Red;Lose;Saano;Goldlane;Bruno;Yu Zhong;Purify;Team Falcons;Team Vamos;0 - 1;1;3;5;14:27;Broken Walls;Group A
MSC26_GA_M01_G1;22/07/2026;Red;Lose;Trolll;Roamer;Chou;Paquito;Flicker;Team Falcons;Team Vamos;0 - 1;2;2;8;14:27;Broken Walls;Group A
MSC26_GA_M01_G2;22/07/2026;Red;Win;Sepat;Explane;Esmeralda;Marcel;Purify;Team Vamos;Team Falcons;2 - 0;0;3;9;15:27;Broken Walls;Group A
MSC26_GA_M01_G2;22/07/2026;Red;Win;Error404;Jungler;Ling;Atlas;Retribution;Team Vamos;Team Falcons;2 - 0;10;0;4;15:27;Broken Walls;Group A
MSC26_GA_M01_G2;22/07/2026;Red;Win;ClawKun;Midlane;Eudora;Hilda;Flicker;Team Vamos;Team Falcons;2 - 0;1;5;9;15:27;Broken Walls;Group A
MSC26_GA_M01_G2;22/07/2026;Red;Win;Natco;Goldlane;Melissa;Baxia;Flicker;Team Vamos;Team Falcons;2 - 0;4;5;7;15:27;Broken Walls;Group A
MSC26_GA_M01_G2;22/07/2026;Red;Win;Zqeef;Roamer;Minotaur;Moskov;Flicker;Team Vamos;Team Falcons;2 - 0;2;2;10;15:27;Broken Walls;Group A
MSC26_GA_M01_G2;22/07/2026;Blue;Lose;Sanji(FL);Explane;Alice;Fanny;Flicker;Team Falcons;Team Vamos;0 - 2;2;3;9;15:27;Broken Walls;Group A
MSC26_GA_M01_G2;22/07/2026;Blue;Lose;Boyet;Jungler;Harley;Phoveus;Retribution;Team Falcons;Team Vamos;0 - 2;4;3;5;15:27;Broken Walls;Group A
MSC26_GA_M01_G2;22/07/2026;Blue;Lose;Cuffin;Midlane;Valentina;Hirara;Flicker;Team Falcons;Team Vamos;0 - 2;2;4;6;15:27;Broken Walls;Group A
MSC26_GA_M01_G2;22/07/2026;Blue;Lose;Saano;Goldlane;Freya;Belerick;Vengeance;Team Falcons;Team Vamos;0 - 2;7;4;5;15:27;Broken Walls;Group A
MSC26_GA_M01_G2;22/07/2026;Blue;Lose;Trolll;Roamer;Chou;Gloo;Flicker;Team Falcons;Team Vamos;0 - 2;0;3;12;15:27;Broken Walls;Group A
MSC26_GA_M02_G1;22/07/2026;Blue;Win;Flap;Explane;Dyrroth;Belerick;Flicker;Team Falcons PH;Guangzhou Gaming;1 - 0;1;3;8;15:26;Expanding Rivers;Group A
MSC26_GA_M02_G1;22/07/2026;Blue;Win;Kyle;Jungler;Ling;Claude;Retribution;Team Falcons PH;Guangzhou Gaming;1 - 0;6;1;5;15:26;Expanding Rivers;Group A
MSC26_GA_M02_G1;22/07/2026;Blue;Win;Hadji;Midlane;Lylia;Fanny;Flicker;Team Falcons PH;Guangzhou Gaming;1 - 0;2;1;12;15:26;Expanding Rivers;Group A
MSC26_GA_M02_G1;22/07/2026;Blue;Win;Super Marco;Goldlane;Brody;Hayabusa;Flicker;Team Falcons PH;Guangzhou Gaming;1 - 0;7;2;5;15:26;Expanding Rivers;Group A
MSC26_GA_M02_G1;22/07/2026;Blue;Win;Owgwen;Roamer;Gloo;Yve;Flicker;Team Falcons PH;Guangzhou Gaming;1 - 0;1;3;9;15:26;Expanding Rivers;Group A
MSC26_GA_M02_G1;22/07/2026;Red;Lose;Modi;Explane;Esmeralda;Hirara;Vengeance;Guangzhou Gaming;Team Falcons PH;0 - 1;0;4;5;15:26;Expanding Rivers;Group A
MSC26_GA_M02_G1;22/07/2026;Red;Lose;ReCall;Jungler;Nolan;Freya;Retribution;Guangzhou Gaming;Team Falcons PH;0 - 1;5;2;3;15:26;Expanding Rivers;Group A
MSC26_GA_M02_G1;22/07/2026;Red;Lose;Xying;Midlane;Zhuxin;Atlas;Flicker;Guangzhou Gaming;Team Falcons PH;0 - 1;1;3;7;15:26;Expanding Rivers;Group A
MSC26_GA_M02_G1;22/07/2026;Red;Lose;Cy;Goldlane;Harith;Eudora;Purify;Guangzhou Gaming;Team Falcons PH;0 - 1;2;3;3;15:26;Expanding Rivers;Group A
MSC26_GA_M02_G1;22/07/2026;Red;Lose;Meii;Roamer;Hilda;Lunox;Flicker;Guangzhou Gaming;Team Falcons PH;0 - 1;2;5;5;15:26;Expanding Rivers;Group A
MSC26_GA_M02_G2;22/07/2026;Red;Win;Flap;Explane;Sora;Freya;Flicker;Team Falcons PH;Guangzhou Gaming;2 - 0;1;2;6;15:52;Dangerous Grass;Group A
MSC26_GA_M02_G2;22/07/2026;Red;Win;Kyle;Jungler;Harley;Marcel;Retribution;Team Falcons PH;Guangzhou Gaming;2 - 0;6;1;5;15:52;Dangerous Grass;Group A
MSC26_GA_M02_G2;22/07/2026;Red;Win;Hadji;Midlane;Eudora;Atlas;Flicker;Team Falcons PH;Guangzhou Gaming;2 - 0;4;1;7;15:52;Dangerous Grass;Group A
MSC26_GA_M02_G2;22/07/2026;Red;Win;Super Marco;Goldlane;Moskov;Barats;Purify;Team Falcons PH;Guangzhou Gaming;2 - 0;6;0;1;15:52;Dangerous Grass;Group A
MSC26_GA_M02_G2;22/07/2026;Red;Win;Owgwen;Roamer;Akai;Uranus;Flicker;Team Falcons PH;Guangzhou Gaming;2 - 0;0;2;10;15:52;Dangerous Grass;Group A
MSC26_GA_M02_G2;22/07/2026;Blue;Lose;Modi;Explane;Paquito;Ling;Flicker;Guangzhou Gaming;Team Falcons PH;0 - 2;0;3;2;15:52;Dangerous Grass;Group A
MSC26_GA_M02_G2;22/07/2026;Blue;Lose;ReCall;Jungler;Hirara;Fanny;Retribution;Guangzhou Gaming;Team Falcons PH;0 - 2;2;6;4;15:52;Dangerous Grass;Group A
MSC26_GA_M02_G2;22/07/2026;Blue;Lose;Xying;Midlane;Yve;Esmeralda;Flicker;Guangzhou Gaming;Team Falcons PH;0 - 2;2;3;4;15:52;Dangerous Grass;Group A
MSC26_GA_M02_G2;22/07/2026;Blue;Lose;Cy;Goldlane;Claude;Brody;Purify;Guangzhou Gaming;Team Falcons PH;0 - 2;1;2;3;15:52;Dangerous Grass;Group A
MSC26_GA_M02_G2;22/07/2026;Blue;Lose;Meii;Roamer;Grock;Clint;Flicker;Guangzhou Gaming;Team Falcons PH;0 - 2;1;3;5;15:52;Dangerous Grass;Group A
MSC26_GA_M03_G1;22/07/2026;Blue;Win;Shogun;Explane;Paquito;Phoveus;Flicker;Team Vitality;True Rippers;1 - 0;5;0;3;09:50;Flying Clouds;Group A
MSC26_GA_M03_G1;22/07/2026;Blue;Win;Nnael;Jungler;Akai;Zhuxin;Retribution;Team Vitality;True Rippers;1 - 0;3;2;11;09:50;Flying Clouds;Group A
MSC26_GA_M03_G1;22/07/2026;Blue;Win;Moreno;Midlane;Valentina;Guinevere;Flicker;Team Vitality;True Rippers;1 - 0;4;0;8;09:50;Flying Clouds;Group A
MSC26_GA_M03_G1;22/07/2026;Blue;Win;Emann;Goldlane;Claude;Esmeralda;Purify;Team Vitality;True Rippers;1 - 0;5;0;8;09:50;Flying Clouds;Group A
MSC26_GA_M03_G1;22/07/2026;Blue;Win;Finn;Roamer;Atlas;Uranus;Flicker;Team Vitality;True Rippers;1 - 0;1;2;13;09:50;Flying Clouds;Group A
MSC26_GA_M03_G1;22/07/2026;Red;Lose;Rehansyah;Explane;Alice;Freya;Flicker;True Rippers;Team Vitality;0 - 1;0;4;4;09:50;Flying Clouds;Group A
MSC26_GA_M03_G1;22/07/2026;Red;Lose;IYanZz;Jungler;Ling;Hirara;Retribution;True Rippers;Team Vitality;0 - 1;2;2;1;09:50;Flying Clouds;Group A
MSC26_GA_M03_G1;22/07/2026;Red;Lose;Asuna;Midlane;Eudora;Marcel;Flicker;True Rippers;Team Vitality;0 - 1;1;3;3;09:50;Flying Clouds;Group A
MSC26_GA_M03_G1;22/07/2026;Red;Lose;Garcia;Goldlane;Karrie;Moskov;Flicker;True Rippers;Team Vitality;0 - 1;0;4;0;09:50;Flying Clouds;Group A
MSC26_GA_M03_G1;22/07/2026;Red;Lose;Kimyy;Roamer;Badang;Arlott;Flicker;True Rippers;Team Vitality;0 - 1;1;5;1;09:50;Flying Clouds;Group A
MSC26_GA_M03_G2;22/07/2026;Red;Win;Shogun;Explane;Belerick;Guinevere;Revitalize;Team Vitality;True Rippers;2 - 0;3;6;13;21:58;Dangerous Grass;Group A
